drug_1_concept_name,drug_2_concept_name,condition_concept_name,PRR
palonosetron,pregabalin,Toxicity to various agents,2.5
Hydrocodone,Morphine,Hepatotoxicity,0.444444
Hydrocodone,Morphine,Drug toxicity,5.74468
Hydrocodone,Morphine,Skin toxicity,1.66667
Hydrocodone,Morphine,Therapeutic agent toxicity,4.375
Hydrocodone,Morphine,Toxicity to various agents,5.21505
Fluoxetine,Temazepam,Cardiotoxicity,10.0
Fluoxetine,Temazepam,Hepatotoxicity,8.33333
Fluoxetine,Temazepam,Drug toxicity,7.33333
Fluoxetine,Temazepam,Therapeutic agent toxicity,6.66667
Fluoxetine,Temazepam,Toxicity to various agents,8.54545
Piperacillin,atorvastatin,Haematotoxicity,10.0
Piperacillin,atorvastatin,Toxicity to various agents,4.66667
rivaroxaban,Thiamine,Toxicity to various agents,10.0
Cyproheptadine,levothyroxine,Drug toxicity,20.0
fexofenadine,Saw palmetto extract,Toxicity to various agents,10.0
Desipramine,levothyroxine,Drug toxicity,20.0
Hydrochlorothiazide,Clarithromycin,Drug toxicity,5.0
Hydrochlorothiazide,Clarithromycin,Toxicity to various agents,0.526316
geranylgeranylacetone,Metoclopramide,Neurotoxicity,10.0
anastrozole,tiotropium,Toxicity to various agents,3.75
clorazepate,Vancomycin,Drug toxicity,2.5
Metformin,silodosin,Toxicity to various agents,2.5
Cyclosporine,Sodium Chloride,Drug toxicity,3.33333
Cyclosporine,Sodium Chloride,Toxicity to various agents,4.0
levothyroxine,Pravastatin,Hepatotoxicity,0.666667
levothyroxine,Pravastatin,Drug toxicity,0.37037
levothyroxine,Pravastatin,Neurotoxicity,0.47619
levothyroxine,Pravastatin,Pulmonary toxicity,1.42857
levothyroxine,Pravastatin,Therapeutic agent toxicity,1.90476
levothyroxine,Pravastatin,Toxicity to various agents,0.372671
Hydrocortisone,Prochlorperazine,Cardiotoxicity,10.0
Hydrocortisone,Prochlorperazine,Hepatotoxicity,2.5
Hydrocortisone,Prochlorperazine,Drug toxicity,0.833333
Hydrocortisone,Prochlorperazine,Therapeutic agent toxicity,10.0
Hydrocortisone,Prochlorperazine,Toxicity to various agents,0.666667
Hydroxyzine,peginterferon alfa-2b,Drug toxicity,2.0
Atropine,Furosemide,Hepatotoxicity,5.0
Atropine,Furosemide,Drug toxicity,1.11111
Atropine,Furosemide,Therapeutic agent toxicity,20.0
Atropine,Furosemide,Toxicity to various agents,5.88235
rosuvastatin,Sodium Chloride,Toxicity to various agents,2.5
Daunorubicin,Vincristine,Haematotoxicity,162.222
Daunorubicin,Vincristine,Cardiotoxicity,3.33333
Daunorubicin,Vincristine,Ototoxicity,5.0
Daunorubicin,Vincristine,Gastrointestinal toxicity,2.5
Daunorubicin,Vincristine,Hepatotoxicity,26.0
Daunorubicin,Vincristine,Drug toxicity,7.01754
Daunorubicin,Vincristine,Neurotoxicity,47.0
Daunorubicin,Vincristine,Pulmonary toxicity,1.42857
Daunorubicin,Vincristine,Therapeutic agent toxicity,3.33333
Daunorubicin,Vincristine,Toxicity to various agents,2.84404
propiomazine,Alfacalcidol,Toxicity to various agents,50.0
alemtuzumab,Rabbit anti-human T-lymphocyte globulin,Toxicity to various agents,5.0
Amlodipine,lanthanum carbonate,Neurotoxicity,5.0
Amlodipine,lanthanum carbonate,Therapeutic agent toxicity,3.33333
Amlodipine,lanthanum carbonate,Toxicity to various agents,4.16667
Captopril,Fluorouracil,Toxicity to various agents,10.0
Vecuronium,Potassium,Toxicity to various agents,20.0
alemtuzumab,voriconazole,Hepatotoxicity,30.0
alemtuzumab,voriconazole,Pulmonary toxicity,10.0
Dexamethasone,Goserelin,Drug toxicity,2.5
Chlorhexidine,Ranitidine,Hepatotoxicity,5.0
Chlorhexidine,Ranitidine,Drug toxicity,1.66667
Chlorhexidine,Ranitidine,Toxicity to various agents,1.66667
Pseudoephedrine,Sertraline,Cardiotoxicity,10.0
Pseudoephedrine,Sertraline,Drug toxicity,4.0
Ciprofloxacin,Bromazepam,Drug toxicity,2.5
Diazepam,Cimetidine,Hepatotoxicity,10.0
Diazepam,Cimetidine,Toxicity to various agents,15.0
erlotinib,Sodium Bicarbonate,Toxicity to various agents,10.0
candesartan,vardenafil,Therapeutic agent toxicity,10.0
Cyclosporine,Magnesium Oxide,Hepatotoxicity,10.0
Cyclosporine,Magnesium Oxide,Toxicity to various agents,2.30769
Ramipril,Alendronate,Hepatotoxicity,0.833333
Ramipril,Alendronate,Drug toxicity,0.37037
Ramipril,Alendronate,Neurotoxicity,2.5
Ramipril,Alendronate,Therapeutic agent toxicity,2.5
Ramipril,Alendronate,Toxicity to various agents,1.88679
Sulfamethoxazole,desloratadine,Therapeutic agent toxicity,10.0
Sulfamethoxazole,desloratadine,Toxicity to various agents,10.0
terbinafine,Citalopram,Drug toxicity,10.0
terbinafine,Citalopram,Toxicity to various agents,3.33333
Lidocaine,Carbamazepine,Drug toxicity,3.33333
Lidocaine,Carbamazepine,Neurotoxicity,10.0
Lidocaine,Carbamazepine,Toxicity to various agents,6.66667
oxybutynin,clopidogrel,Drug toxicity,2.0
oxybutynin,clopidogrel,Pulmonary toxicity,5.0
oxybutynin,clopidogrel,Therapeutic agent toxicity,40.0
oxybutynin,clopidogrel,Toxicity to various agents,0.625
Vitamin A,Clozapine,Toxicity to various agents,10.0
lenalidomide,Potassium Chloride,Haematotoxicity,2.5
lenalidomide,Potassium Chloride,Cardiotoxicity,1.11111
lenalidomide,Potassium Chloride,Hepatotoxicity,0.740741
lenalidomide,Potassium Chloride,Drug toxicity,1.12903
lenalidomide,Potassium Chloride,Therapeutic agent toxicity,5.625
lenalidomide,Potassium Chloride,Toxicity to various agents,0.693069
Alendronate,mesalamine,Hepatotoxicity,10.0
Alendronate,mesalamine,Toxicity to various agents,0.666667
quinapril,Clarithromycin,Toxicity to various agents,10.0
Mycophenolic Acid,Acyclovir,Drug toxicity,3.33333
Mycophenolic Acid,Acyclovir,Toxicity to various agents,6.66667
darbepoetin alfa,Hydroxyzine,Toxicity to various agents,3.33333
Oxycodone,Mirtazapine,Hepatotoxicity,0.666667
Oxycodone,Mirtazapine,Drug toxicity,5.40541
Oxycodone,Mirtazapine,Therapeutic agent toxicity,2.5
Oxycodone,Mirtazapine,Toxicity to various agents,9.19355
moxifloxacin,Dapsone,Therapeutic agent toxicity,10.0
Esomeprazole,Testosterone,Drug toxicity,1.0
Esomeprazole,Testosterone,Pulmonary toxicity,10.0
Esomeprazole,Testosterone,Toxicity to various agents,1.57895
Captopril,gabapentin,Toxicity to various agents,2.5
Simvastatin,sunitinib,Hepatotoxicity,1.66667
Simvastatin,sunitinib,Drug toxicity,2.38095
Simvastatin,sunitinib,Therapeutic agent toxicity,2.0
Simvastatin,sunitinib,Toxicity to various agents,0.181818
Buspirone,Ethanol,Drug toxicity,2.5
clorazepate,Etomidate,Toxicity to various agents,30.0
Acenocoumarol,Acyclovir,Neurotoxicity,30.0
Niacin,Diazepam,Toxicity to various agents,5.0
Vitamin A,Diltiazem,Drug toxicity,2.30769
Vitamin A,Diltiazem,Therapeutic agent toxicity,6.66667
Vitamin A,Diltiazem,Toxicity to various agents,1.11111
flunisolide,Atenolol,Drug toxicity,6.66667
thyroid (USP),Hydroxyzine,Toxicity to various agents,10.0
Hydrochlorothiazide,Niacin,Hepatotoxicity,5.88235
Hydrochlorothiazide,Niacin,Drug toxicity,1.39535
Hydrochlorothiazide,Niacin,Neurotoxicity,1.25
Hydrochlorothiazide,Niacin,Therapeutic agent toxicity,1.11111
Hydrochlorothiazide,Niacin,Toxicity to various agents,0.714286
Opium,Furosemide,Toxicity to various agents,10.0
moxonidine,Digitoxin,Hepatotoxicity,10.0
moxonidine,Digitoxin,Therapeutic agent toxicity,20.0
salmeterol,Betamethasone,Toxicity to various agents,2.22222
ferrous sulfate,Finasteride,Toxicity to various agents,14.0
Estradiol,Diltiazem,Therapeutic agent toxicity,5.0
Estradiol,Diltiazem,Toxicity to various agents,1.875
Folic Acid,Potassium Chloride,Bone marrow toxicity,5.0
Folic Acid,Potassium Chloride,Haematotoxicity,1.0
Folic Acid,Potassium Chloride,Cardiotoxicity,2.0
Folic Acid,Potassium Chloride,Gastrointestinal toxicity,1.66667
Folic Acid,Potassium Chloride,Hepatotoxicity,1.72414
Folic Acid,Potassium Chloride,Drug toxicity,0.674157
Folic Acid,Potassium Chloride,Mitochondrial toxicity,10.0
Folic Acid,Potassium Chloride,Neurotoxicity,0.357143
Folic Acid,Potassium Chloride,Therapeutic agent toxicity,9.0
Folic Acid,Potassium Chloride,Toxicity to various agents,1.14754
aripiprazole,Meperidine,Toxicity to various agents,10.0
Prazosin,Temazepam,Toxicity to various agents,40.0
Albuterol,Vitamin E,Drug toxicity,1.42857
Albuterol,Vitamin E,Pulmonary toxicity,20.0
Albuterol,Vitamin E,Toxicity to various agents,1.37931
cyclobenzaprine,Flecainide,Toxicity to various agents,3.33333
Felodipine,Vitamin D,Therapeutic agent toxicity,5.0
Felodipine,Vitamin D,Toxicity to various agents,1.25
Gemfibrozil,Verapamil,Toxicity to various agents,1.66667
Clozapine,Carbamazepine,Toxicity to various agents,8.57143
Codeine,Phenazopyridine,Toxicity to various agents,20.0
Phenytoin,Magnesium Oxide,Drug toxicity,2.5
Amlodipine,Cortisone,Toxicity to various agents,2.85714
"Albumin Human, USP",Prednisone,Toxicity to various agents,10.0
Lactulose,Ampicillin,Hepatotoxicity,10.0
Lactulose,Ampicillin,Toxicity to various agents,2.0
Docusate,cetuximab,Toxicity to various agents,2.5
cyamemazine,Bromazepam,Drug toxicity,40.0
cyamemazine,Bromazepam,Toxicity to various agents,10.0
Aspirin,nabumetone,Drug toxicity,2.0
Aspirin,nabumetone,Neurotoxicity,1.66667
Aspirin,nabumetone,Therapeutic agent toxicity,15.0
Aspirin,nabumetone,Toxicity to various agents,0.833333
Bumetanide,Hydroxyzine,Drug toxicity,10.0
Bumetanide,Hydroxyzine,Toxicity to various agents,1.25
Metoclopramide,Gadopentetate Dimeglumine,Toxicity to various agents,2.5
duloxetine,Eszopiclone,Hepatotoxicity,2.5
duloxetine,Eszopiclone,Drug toxicity,1.0
duloxetine,Eszopiclone,Therapeutic agent toxicity,6.66667
duloxetine,Eszopiclone,Toxicity to various agents,2.66667
olanzapine,Clavulanate,Drug toxicity,5.71429
olanzapine,Clavulanate,Toxicity to various agents,5.0
Alfentanil,Metoclopramide,Toxicity to various agents,20.0
Felodipine,Quinine,Toxicity to various agents,10.0
valacyclovir,Nicorandil,Drug toxicity,20.0
valacyclovir,Nicorandil,Toxicity to various agents,5.0
"insulin, isophane",Levofloxacin,Toxicity to various agents,3.0
gadodiamide,Calcitriol,Drug toxicity,10.0
temozolomide,Insulin Glargine,Hepatotoxicity,10.0
Fenofibrate,Amiodarone,Drug toxicity,2.72727
Fenofibrate,Amiodarone,Therapeutic agent toxicity,70.0
Fenofibrate,Amiodarone,Toxicity to various agents,2.0
isoniazid,Levofloxacin,Hepatotoxicity,70.0
isoniazid,Levofloxacin,Toxicity to various agents,3.33333
Morphine,cefepime,Hepatotoxicity,6.66667
Morphine,cefepime,Drug toxicity,3.0
Morphine,cefepime,Neurotoxicity,7.5
Morphine,cefepime,Pulmonary toxicity,10.0
Morphine,cefepime,Skin toxicity,10.0
Morphine,cefepime,Toxicity to various agents,0.769231
Carmustine,Methotrexate,Cardiotoxicity,10.0
Carmustine,Methotrexate,Hepatotoxicity,13.3333
Carmustine,Methotrexate,Drug toxicity,25.0
Carmustine,Methotrexate,Neurotoxicity,16.6667
Carmustine,Methotrexate,Toxicity to various agents,2.5
topiramate,Nifedipine,Toxicity to various agents,3.33333
Amlodipine,Amiloride,Hepatotoxicity,3.33333
Amlodipine,Amiloride,Toxicity to various agents,0.769231
olanzapine,meloxicam,Toxicity to various agents,3.33333
Prazepam,Mirtazapine,Toxicity to various agents,5.0
Terbutaline,Alprazolam,Toxicity to various agents,10.0
Lisinopril,zolpidem,Hepatotoxicity,1.05263
Lisinopril,zolpidem,Drug toxicity,1.03448
Lisinopril,zolpidem,Neurotoxicity,0.454545
Lisinopril,zolpidem,Pulmonary toxicity,1.0
Lisinopril,zolpidem,Skin toxicity,1.11111
Lisinopril,zolpidem,Therapeutic agent toxicity,3.91304
Lisinopril,zolpidem,Toxicity to various agents,2.30769
Aspirin,Quinine,Ocular toxicity,10.0
Aspirin,Quinine,Hepatotoxicity,3.0
Aspirin,Quinine,Drug toxicity,0.344828
Aspirin,Quinine,Therapeutic agent toxicity,4.44444
Aspirin,Quinine,Toxicity to various agents,1.53846
tocilizumab,celecoxib,Hepatotoxicity,2.5
glimepiride,Omeprazole,Gastrointestinal toxicity,10.0
glimepiride,Omeprazole,Hepatotoxicity,1.25
glimepiride,Omeprazole,Therapeutic agent toxicity,4.44444
glimepiride,Omeprazole,Toxicity to various agents,0.657895
Propoxyphene,Spironolactone,Hepatotoxicity,2.0
Propoxyphene,Spironolactone,Drug toxicity,3.33333
Propoxyphene,Spironolactone,Toxicity to various agents,6.66667
venlafaxine,Ethanol,Drug toxicity,83.3333
venlafaxine,Ethanol,Toxicity to various agents,58.8889
levothyroxine,axitinib,Toxicity to various agents,2.22222
darunavir,atorvastatin,Drug toxicity,5.0
darunavir,atorvastatin,Toxicity to various agents,4.0
Colistin,Levofloxacin,Toxicity to various agents,5.0
atorvastatin,sunitinib,Haematotoxicity,10.0
atorvastatin,sunitinib,Drug toxicity,1.25
atorvastatin,sunitinib,Toxicity to various agents,0.416667
Losartan,Clarithromycin,Drug toxicity,5.0
Losartan,Clarithromycin,Neurotoxicity,5.0
Losartan,Clarithromycin,Toxicity to various agents,2.0
Diclofenac,Amitriptyline,Ototoxicity,10.0
Diclofenac,Amitriptyline,Hepatotoxicity,1.66667
Diclofenac,Amitriptyline,Drug toxicity,4.16667
Diclofenac,Amitriptyline,Mitochondrial toxicity,10.0
Diclofenac,Amitriptyline,Therapeutic agent toxicity,3.33333
Diclofenac,Amitriptyline,Toxicity to various agents,3.09524
Vitamin K,Acyclovir,Toxicity to various agents,15.0
Paroxetine,Piroxicam,Toxicity to various agents,2.0
"Albumin Human, USP",Ondansetron,Neurotoxicity,6.66667
"Albumin Human, USP",Ondansetron,Toxicity to various agents,2.0
Cetirizine,deferasirox,Hepatotoxicity,5.0
Dipyridamole,Acyclovir,Drug toxicity,5.0
Levofloxacin,orlistat,Toxicity to various agents,5.0
Naproxen,Calcium,Gastrointestinal toxicity,5.0
Naproxen,Calcium,Hepatotoxicity,2.5
Naproxen,Calcium,Toxicity to various agents,0.196078
Propoxyphene,Codeine,Drug toxicity,6.25
Propoxyphene,Codeine,Therapeutic agent toxicity,30.0
Propoxyphene,Codeine,Toxicity to various agents,18.0
Vitamin A,Amoxicillin,Toxicity to various agents,2.5
exenatide,sitagliptin,Therapeutic agent toxicity,5.0
exenatide,sitagliptin,Toxicity to various agents,0.2
Glucose,Aspirin,Cardiotoxicity,10.0
Glucose,Aspirin,Drug toxicity,2.10526
Glucose,Aspirin,Neurotoxicity,3.33333
Glucose,Aspirin,Therapeutic agent toxicity,1.66667
Ceftriaxone,Isosorbide,Toxicity to various agents,15.0
Levodopa,Selegiline,Drug toxicity,0.769231
candesartan,Fluconazole,Hepatotoxicity,10.0
candesartan,Fluconazole,Drug toxicity,2.0
candesartan,Fluconazole,Toxicity to various agents,1.0
Metoprolol,sunitinib,Hepatotoxicity,0.833333
Metoprolol,sunitinib,Drug toxicity,2.06897
Metoprolol,sunitinib,Pulmonary toxicity,10.0
Metoprolol,sunitinib,Skin toxicity,3.33333
Metoprolol,sunitinib,Toxicity to various agents,0.652174
Metronidazole,Sulfamethoxazole,Hepatotoxicity,1.81818
Metronidazole,Sulfamethoxazole,Drug toxicity,2.5
Metronidazole,Sulfamethoxazole,Neurotoxicity,22.5
Metronidazole,Sulfamethoxazole,Therapeutic agent toxicity,30.0
Metronidazole,Sulfamethoxazole,Toxicity to various agents,3.0303
Lisinopril,Vitamin K 2,Toxicity to various agents,15.0
Cytarabine,gemcitabine,Drug toxicity,10.0
Cytarabine,gemcitabine,Toxicity to various agents,10.0
Sertraline,Trimethoprim,Hepatotoxicity,5.0
Sertraline,Trimethoprim,Drug toxicity,8.33333
Sertraline,Trimethoprim,Toxicity to various agents,3.04348
Buspirone,Imipramine,Drug toxicity,15.0
tamsulosin,Azathioprine,Pulmonary toxicity,20.0
tamsulosin,Azathioprine,Toxicity to various agents,1.42857
Sertraline,sevelamer,Toxicity to various agents,10.0
Calcium,leflunomide,Bone marrow toxicity,10.0
Calcium,leflunomide,Hepatotoxicity,1.66667
Calcium,leflunomide,Skin toxicity,2.0
Hydrocodone,Chlordiazepoxide,Drug toxicity,3.33333
Hydrocodone,Chlordiazepoxide,Toxicity to various agents,6.25
Carisoprodol,tolterodine,Drug toxicity,60.0
Carisoprodol,tolterodine,Toxicity to various agents,5.0
rosiglitazone,Methocarbamol,Toxicity to various agents,5.0
lenalidomide,bortezomib,Bone marrow toxicity,4.0
lenalidomide,bortezomib,Haematotoxicity,10.0
lenalidomide,bortezomib,Cardiotoxicity,1.66667
lenalidomide,bortezomib,Gastrointestinal toxicity,8.88889
lenalidomide,bortezomib,Hepatotoxicity,0.952381
lenalidomide,bortezomib,Drug toxicity,0.534351
lenalidomide,bortezomib,Neurotoxicity,1.48148
lenalidomide,bortezomib,Pulmonary toxicity,2.5
lenalidomide,bortezomib,Skin toxicity,2.5
lenalidomide,bortezomib,Therapeutic agent toxicity,0.27027
lenalidomide,bortezomib,Toxicity to various agents,10.0
Ascorbic Acid,ferrous sulfate,Hepatotoxicity,1.42857
Ascorbic Acid,ferrous sulfate,Drug toxicity,0.588235
Ascorbic Acid,ferrous sulfate,Pulmonary toxicity,2.5
Ascorbic Acid,ferrous sulfate,Therapeutic agent toxicity,20.0
Ascorbic Acid,ferrous sulfate,Toxicity to various agents,0.25641
Naproxen,Sotalol,Toxicity to various agents,10.0
Norepinephrine,Nystatin,Toxicity to various agents,6.66667
metaxalone,azelastine,Pulmonary toxicity,10.0
Hydrochlorothiazide,Propofol,Toxicity to various agents,2.0
"Estrogens, Conjugated (USP)",Labetalol,Toxicity to various agents,10.0
prednisolone,Cefotaxime,Hepatotoxicity,10.0
prednisolone,Cefotaxime,Drug toxicity,20.0
Cyclophosphamide,Mycophenolic Acid,Drug toxicity,5.0
Risperidone,Verapamil,Drug toxicity,6.0
Risperidone,Verapamil,Toxicity to various agents,2.5
Carboplatin,Prednisone,Cardiotoxicity,6.66667
Carboplatin,Prednisone,Hepatotoxicity,5.0
Carboplatin,Prednisone,Drug toxicity,1.25
Carboplatin,Prednisone,Neurotoxicity,10.0
donepezil,benazepril,Drug toxicity,5.0
donepezil,benazepril,Toxicity to various agents,30.0
zafirlukast,azelastine,Toxicity to various agents,10.0
calcium acetate,Lactulose,Drug toxicity,10.0
calcium acetate,Lactulose,Neurotoxicity,10.0
brimonidine,Acetaminophen,Therapeutic agent toxicity,10.0
brimonidine,Acetaminophen,Toxicity to various agents,0.454545
Prednisone,modafinil,Therapeutic agent toxicity,20.0
Hydrochlorothiazide,Fluorouracil,Drug toxicity,2.0
Hydrochlorothiazide,Fluorouracil,Skin toxicity,5.0
Hydrochlorothiazide,Fluorouracil,Toxicity to various agents,2.5
Lactulose,Diphenoxylate,Pulmonary toxicity,10.0
Lactulose,Diphenoxylate,Toxicity to various agents,10.0
Milrinone,Dobutamine,Drug toxicity,6.66667
Milrinone,Dobutamine,Toxicity to various agents,1.11111
Folic Acid,nabumetone,Neurotoxicity,5.0
Folic Acid,nabumetone,Therapeutic agent toxicity,10.0
Folic Acid,nabumetone,Toxicity to various agents,0.588235
Lisinopril,Magnesium Sulfate,Cardiotoxicity,5.0
Lisinopril,Magnesium Sulfate,Drug toxicity,5.0
flunisolide,Sulfamethoxazole,Toxicity to various agents,5.0
Glucose,Sodium Bicarbonate,Hepatotoxicity,2.0
Glucose,Sodium Bicarbonate,Drug toxicity,5.45455
Glucose,Sodium Bicarbonate,Neurotoxicity,30.0
clopidogrel,leflunomide,Toxicity to various agents,3.0
Vancomycin,desloratadine,Toxicity to various agents,5.0
sildenafil,Mirtazapine,Drug toxicity,2.5
sildenafil,Mirtazapine,Toxicity to various agents,1.42857
Metformin,Clarithromycin,Toxicity to various agents,3.33333
POLYETHYLENE GLYCOL 3350,Omeprazole,Drug toxicity,0.638298
POLYETHYLENE GLYCOL 3350,Omeprazole,Therapeutic agent toxicity,7.77778
POLYETHYLENE GLYCOL 3350,Omeprazole,Toxicity to various agents,0.897436
Ibuprofen,Tenofovir,Drug toxicity,10.0
Tacrolimus,Simethicone,Toxicity to various agents,10.0
meropenem,Nicotine,Toxicity to various agents,10.0
Prednisone,Dipyrone,Drug toxicity,2.0
zopiclone,Nifedipine,Drug toxicity,6.0
fluticasone,celecoxib,Cardiotoxicity,10.0
fluticasone,celecoxib,Hepatotoxicity,0.714286
fluticasone,celecoxib,Drug toxicity,1.35135
fluticasone,celecoxib,Therapeutic agent toxicity,5.55556
fluticasone,celecoxib,Toxicity to various agents,1.83673
Sumatriptan,Clonazepam,Hepatotoxicity,1.66667
Sumatriptan,Clonazepam,Drug toxicity,2.14286
Sumatriptan,Clonazepam,Toxicity to various agents,3.33333
irbesartan,Lithium,Toxicity to various agents,5.0
Alendronate,Triamcinolone,Therapeutic agent toxicity,40.0
Alendronate,Triamcinolone,Toxicity to various agents,3.125
Furosemide,dronedarone,Hepatotoxicity,5.0
Furosemide,dronedarone,Drug toxicity,0.5
Furosemide,dronedarone,Therapeutic agent toxicity,1.42857
Furosemide,dronedarone,Toxicity to various agents,0.882353
cefepime,Haloperidol,Drug toxicity,5.0
Alendronate,Cefuroxime,Toxicity to various agents,10.0
Bromocriptine,Omeprazole,Drug toxicity,5.0
Bromocriptine,Omeprazole,Toxicity to various agents,10.0
Eszopiclone,Benztropine,Toxicity to various agents,10.0
Magnesium Hydroxide,Methylprednisolone,Hepatotoxicity,5.0
Magnesium Hydroxide,Methylprednisolone,Drug toxicity,12.0
Magnesium Hydroxide,Methylprednisolone,Toxicity to various agents,4.0
levothyroxine,Levalbuterol,Pulmonary toxicity,10.0
levothyroxine,Levalbuterol,Therapeutic agent toxicity,10.0
levothyroxine,Levalbuterol,Toxicity to various agents,2.0
Warfarin,Vitamin B 12,Hepatotoxicity,1.66667
Warfarin,Vitamin B 12,Drug toxicity,0.952381
Warfarin,Vitamin B 12,Pulmonary toxicity,5.0
Warfarin,Vitamin B 12,Therapeutic agent toxicity,7.14286
Warfarin,Vitamin B 12,Toxicity to various agents,0.666667
Risperidone,donepezil,Drug toxicity,2.63158
Risperidone,donepezil,Neurotoxicity,3.33333
Risperidone,donepezil,Therapeutic agent toxicity,30.0
Risperidone,donepezil,Toxicity to various agents,2.5
Penicillin V,Albuterol,Drug toxicity,10.0
Penicillin V,Albuterol,Toxicity to various agents,5.0
Tramadol,Ribavirin,Hepatotoxicity,2.5
Tramadol,Ribavirin,Toxicity to various agents,1.0
Sumatriptan,Glipizide,Therapeutic agent toxicity,20.0
Sumatriptan,Glipizide,Toxicity to various agents,5.0
Calcium Carbonate,Potassium Chloride,Hepatotoxicity,1.66667
Calcium Carbonate,Potassium Chloride,Drug toxicity,0.434783
Calcium Carbonate,Potassium Chloride,Skin toxicity,10.0
Calcium Carbonate,Potassium Chloride,Therapeutic agent toxicity,5.0
Calcium Carbonate,Potassium Chloride,Toxicity to various agents,1.32353
Alendronate,Phenazopyridine,Toxicity to various agents,5.0
Solifenacin,celecoxib,Toxicity to various agents,2.5
Dextromethorphan,pregabalin,Toxicity to various agents,20.0
Granisetron,darbepoetin alfa,Drug toxicity,5.0
Granisetron,darbepoetin alfa,Neurotoxicity,5.0
Granisetron,darbepoetin alfa,Toxicity to various agents,1.66667
lansoprazole,Methylphenidate,Drug toxicity,1.25
lansoprazole,Methylphenidate,Toxicity to various agents,1.42857
Carbidopa,ropinirole,Drug toxicity,0.555556
Carbidopa,ropinirole,Toxicity to various agents,0.5
Gentamicin,Clonidine,Toxicity to various agents,10.0
Piperacillin,Clonidine,Drug toxicity,10.0
Piperacillin,Clonidine,Toxicity to various agents,20.0
Fosinopril,gabapentin,Drug toxicity,3.33333
Fosinopril,gabapentin,Therapeutic agent toxicity,5.0
Fosinopril,gabapentin,Toxicity to various agents,1.53846
Pentamidine,Albuterol,Toxicity to various agents,3.33333
Levofloxacin,Mexiletine,Toxicity to various agents,10.0
Methylprednisolone,Granisetron,Haematotoxicity,5.0
Methylprednisolone,Granisetron,Neurotoxicity,6.0
Methylprednisolone,Granisetron,Toxicity to various agents,0.555556
Levetiracetam,Lisinopril,Hepatotoxicity,1.66667
Levetiracetam,Lisinopril,Drug toxicity,4.61538
Levetiracetam,Lisinopril,Toxicity to various agents,2.94118
Oxycodone,vitamin D3,Toxicity to various agents,0.588235
Ibuprofen,Naloxone,Drug toxicity,10.0
Ibuprofen,Naloxone,Toxicity to various agents,10.0
Simvastatin,sildenafil,Hepatotoxicity,0.666667
Simvastatin,sildenafil,Drug toxicity,0.952381
Simvastatin,sildenafil,Toxicity to various agents,1.62162
Dexamethasone,Hydromorphone,Cardiotoxicity,10.0
Dexamethasone,Hydromorphone,Drug toxicity,0.454545
