drug1_id,drug2_id,drug1_name,drug2_name,interaction_type,matched_toxicity_types,interaction_type_normalized
DB00091,DB00179,Cyclosporine,Masoprocol,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00210,Cyclosporine,Adapalene,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00244,Cyclosporine,Mesalazine,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00328,Cyclosporine,Indomethacin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00461,Cyclosporine,Nabumetone,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00469,Cyclosporine,Tenoxicam,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00482,Cyclosporine,Celecoxib,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00500,Cyclosporine,Tolmetin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00533,Cyclosporine,Rofecoxib,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00554,Cyclosporine,Piroxicam,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00573,Cyclosporine,Fenoprofen,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00580,Cyclosporine,Valdecoxib,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00605,Cyclosporine,Sulindac,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00608,Cyclosporine,Chloroquine,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00688,Cyclosporine,Mycophenolate mofetil,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00744,Cyclosporine,Zileuton,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00749,Cyclosporine,Etodolac,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00768,Cyclosporine,Olopatadine,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00784,Cyclosporine,Mefenamic acid,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00788,Cyclosporine,Naproxen,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00795,Cyclosporine,Sulfasalazine,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00812,Cyclosporine,Phenylbutazone,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00814,Cyclosporine,Meloxicam,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00821,Cyclosporine,Carprofen,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00861,Cyclosporine,Diflunisal,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00870,Cyclosporine,Suprofen,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00939,Cyclosporine,Meclofenamic acid,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00945,Cyclosporine,Acetylsalicylic acid,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00972,Cyclosporine,Azelastine,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00991,Cyclosporine,Oxaprozin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB01009,Cyclosporine,Ketoprofen,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB01014,Cyclosporine,Balsalazide,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB01050,Cyclosporine,Ibuprofen,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB01250,Cyclosporine,Olsalazine,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB01283,Cyclosporine,Lumiracoxib,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB01397,Cyclosporine,Magnesium salicylate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB01399,Cyclosporine,Salsalate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB01401,Cyclosporine,Choline magnesium trisalicylate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB01435,Cyclosporine,Antipyrine,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB01600,Cyclosporine,Tiaprofenic acid,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB01628,Cyclosporine,Etoricoxib,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB02709,Cyclosporine,Resveratrol,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB03585,Cyclosporine,Oxyphenbutazone,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB04552,Cyclosporine,Niflumic Acid,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB04743,Cyclosporine,Nimesulide,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB04817,Cyclosporine,Metamizole,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB04951,Cyclosporine,Pirfenidone,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB05676,Cyclosporine,Apremilast,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB06196,Cyclosporine,Icatibant,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB06725,Cyclosporine,Lornoxicam,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB06736,Cyclosporine,Aceclofenac,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB06737,Cyclosporine,Zaltoprofen,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB06739,Cyclosporine,Seratrodast,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB07615,Cyclosporine,Tranilast,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB08439,Cyclosporine,Parecoxib,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB08797,Cyclosporine,Salicylamide,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB08880,Cyclosporine,Teriflunomide,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB08976,Cyclosporine,Floctafenine,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB08981,Cyclosporine,Fenbufen,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB08984,Cyclosporine,Etofenamate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB08991,Cyclosporine,Epirizole,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB09212,Cyclosporine,Loxoprofen,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB09216,Cyclosporine,Tolfenamic Acid,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB09218,Cyclosporine,Clonixin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB09288,Cyclosporine,Propacetamol,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB11672,Cyclosporine,Curcumin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB13063,Cyclosporine,Parthenolide,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB13167,Cyclosporine,Alclofenac,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB13346,Cyclosporine,Bufexamac,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB09084,Cyclosporine,Benzydamine,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB01598,Cyclosporine,Imipenem,neurotoxic activities,neurotoxic activities,neurotoxicity
DB00091,DB01042,Cyclosporine,Melphalan,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00479,Cyclosporine,Amikacin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00684,Cyclosporine,Tobramycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00798,Cyclosporine,Gentamicin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB01082,Cyclosporine,Streptomycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00452,Cyclosporine,Framycetin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00955,Cyclosporine,Netilmicin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB01172,Cyclosporine,Kanamycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB01421,Cyclosporine,Paromomycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB03615,Cyclosporine,Ribostamycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB06696,Cyclosporine,Arbekacin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB12615,Cyclosporine,Plazomicin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00263,Cyclosporine,Sulfisoxazole,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00359,Cyclosporine,Sulfadiazine,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB01015,Cyclosporine,Sulfamethoxazole,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00681,Cyclosporine,Amphotericin B,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00104,DB00390,Octreotide,Digoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00104,DB00511,Octreotide,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00104,DB01078,Octreotide,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00104,DB01092,Octreotide,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00104,DB01396,Octreotide,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00104,DB00531,Octreotide,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00162,DB00390,Vitamin A,Digoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00162,DB00511,Vitamin A,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00162,DB01078,Vitamin A,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00162,DB01092,Vitamin A,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00162,DB01396,Vitamin A,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00162,DB00531,Vitamin A,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00177,DB09449,Valsartan,Sodium phosphate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00178,DB09449,Ramipril,Sodium phosphate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00178,DB08907,Ramipril,Canagliflozin,risk or severity of renal failure and hyperkalemia,risk or severity of renal failure,nephrotoxicity
DB00179,DB09449,Masoprocol,Sodium phosphate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00179,DB00511,Masoprocol,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00179,DB01078,Masoprocol,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00179,DB01092,Masoprocol,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00179,DB01396,Masoprocol,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00179,DB00531,Masoprocol,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00179,DB01250,Masoprocol,Olsalazine,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00179,DB00864,Masoprocol,Tacrolimus,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00182,DB00289,Amphetamine,Atomoxetine,central neurotoxic activities,neurotoxic activities;central neurotoxic activities,neurotoxicity
DB00188,DB00390,Bortezomib,Digoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00188,DB00511,Bortezomib,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00188,DB01078,Bortezomib,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00188,DB01092,Bortezomib,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00188,DB01396,Bortezomib,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00188,DB00531,Bortezomib,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00210,DB09449,Adapalene,Sodium phosphate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00210,DB01250,Adapalene,Olsalazine,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00210,DB00864,Adapalene,Tacrolimus,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00214,DB09449,Torasemide,Sodium phosphate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00214,DB00515,Torasemide,Cisplatin,risk or severity of ototoxicity and nephrotoxicity,risk or severity of ototoxicity and nephrotoxicity,nephrotoxicity
DB00218,DB00390,Moxifloxacin,Digoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00218,DB00511,Moxifloxacin,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00218,DB01078,Moxifloxacin,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00218,DB01092,Moxifloxacin,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00218,DB01396,Moxifloxacin,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00218,DB00531,Moxifloxacin,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00229,DB00479,Cefotiam,Amikacin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00229,DB00684,Cefotiam,Tobramycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00229,DB00798,Cefotiam,Gentamicin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00229,DB01082,Cefotiam,Streptomycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00229,DB00452,Cefotiam,Framycetin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00229,DB00955,Cefotiam,Netilmicin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00229,DB01172,Cefotiam,Kanamycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00229,DB01421,Cefotiam,Paromomycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00229,DB03615,Cefotiam,Ribostamycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00229,DB06696,Cefotiam,Arbekacin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00229,DB12615,Cefotiam,Plazomicin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00232,DB09449,Methyclothiazide,Sodium phosphate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00232,DB00515,Methyclothiazide,Cisplatin,risk or severity of ototoxicity and nephrotoxicity,risk or severity of ototoxicity and nephrotoxicity,nephrotoxicity
DB00236,DB00390,Pipobroman,Digoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00236,DB00511,Pipobroman,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00236,DB01078,Pipobroman,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00236,DB01092,Pipobroman,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00236,DB01396,Pipobroman,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00236,DB00531,Pipobroman,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00242,DB00390,Cladribine,Digoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00242,DB00511,Cladribine,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00242,DB01078,Cladribine,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00242,DB01092,Cladribine,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00242,DB01396,Cladribine,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00242,DB00531,Cladribine,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00244,DB09449,Mesalazine,Sodium phosphate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00244,DB00864,Mesalazine,Tacrolimus,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00248,DB00390,Cabergoline,Digoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00248,DB00511,Cabergoline,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00248,DB01078,Cabergoline,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00248,DB01092,Cabergoline,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00248,DB01396,Cabergoline,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00248,DB00531,Cabergoline,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00252,DB01284,Phenytoin,Tetracosactide,hepatotoxic activities,hepatotoxic activities,hepatotoxicity
DB00254,DB05528,Doxycycline,Mipomersen,hepatotoxic activities,hepatotoxic activities,hepatotoxicity
DB00255,DB00390,Diethylstilbestrol,Digoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00255,DB00511,Diethylstilbestrol,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00255,DB01078,Diethylstilbestrol,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00255,DB01092,Diethylstilbestrol,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00255,DB01396,Diethylstilbestrol,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00255,DB00531,Diethylstilbestrol,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00260,DB00898,Cycloserine,Ethanol,neurotoxic activities,neurotoxic activities,neurotoxicity
DB00261,DB00390,Anagrelide,Digoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00261,DB00511,Anagrelide,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00261,DB01078,Anagrelide,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00261,DB01092,Anagrelide,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00261,DB01396,Anagrelide,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00261,DB00531,Anagrelide,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00262,DB00390,Carmustine,Digoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00262,DB00511,Carmustine,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00262,DB01078,Carmustine,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00262,DB01092,Carmustine,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00262,DB01396,Carmustine,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00262,DB00531,Carmustine,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00267,DB00479,Cefmenoxime,Amikacin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00267,DB00684,Cefmenoxime,Tobramycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00267,DB00798,Cefmenoxime,Gentamicin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00267,DB01082,Cefmenoxime,Streptomycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00267,DB00452,Cefmenoxime,Framycetin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00267,DB00955,Cefmenoxime,Netilmicin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00267,DB01172,Cefmenoxime,Kanamycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00267,DB01421,Cefmenoxime,Paromomycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00267,DB03615,Cefmenoxime,Ribostamycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00267,DB06696,Cefmenoxime,Arbekacin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00267,DB12615,Cefmenoxime,Plazomicin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00274,DB00479,Cefmetazole,Amikacin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00274,DB00684,Cefmetazole,Tobramycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00274,DB00798,Cefmetazole,Gentamicin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00274,DB01082,Cefmetazole,Streptomycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00274,DB00452,Cefmetazole,Framycetin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00274,DB00955,Cefmetazole,Netilmicin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00274,DB01172,Cefmetazole,Kanamycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00274,DB01421,Cefmetazole,Paromomycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00274,DB03615,Cefmetazole,Ribostamycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00274,DB06696,Cefmetazole,Arbekacin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00274,DB12615,Cefmetazole,Plazomicin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00275,DB09449,Olmesartan,Sodium phosphate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00276,DB00390,Amsacrine,Digoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00276,DB00511,Amsacrine,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00276,DB01078,Amsacrine,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00276,DB01092,Amsacrine,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00276,DB01396,Amsacrine,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00276,DB00531,Amsacrine,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00282,DB00390,Pamidronate,Digoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00282,DB00511,Pamidronate,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00282,DB01078,Pamidronate,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00282,DB01092,Pamidronate,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00282,DB01396,Pamidronate,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00282,DB00531,Pamidronate,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00282,DB01041,Pamidronate,Thalidomide,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00289,DB00752,Atomoxetine,Tranylcypromine,central neurotoxic activities,neurotoxic activities;central neurotoxic activities,neurotoxicity
DB00289,DB00780,Atomoxetine,Phenelzine,central neurotoxic activities,neurotoxic activities;central neurotoxic activities,neurotoxicity
DB00289,DB01037,Atomoxetine,Selegiline,central neurotoxic activities,neurotoxic activities;central neurotoxic activities,neurotoxicity
